Rep. Pete Aguilar,Representative for California’s 33rd District,"Aguilar is the representative for California’s 33rd congressional district (view map) and is a Democrat. He has served since Jan 3, 2023. Aguilar is next up for reelection in 2024 and serves until Jan 3, 2025. He is 43 years old.",/static/legislator-photos/412615-200px.jpeg
Rep. Mark Alford,Representative for Missouri’s 4th District,"Alford is the representative for Missouri’s 4th congressional district (view map) and is a Republican. He has served since Jan 3, 2023. Alford is next up for reelection in 2024 and serves until Jan 3, 2025. He is 59 years old."
Rep. Rick Allen,Representative for Georgia’s 12th District,"Allen is the representative for Georgia’s 12th congressional district (view map) and is a Republican. He has served since Jan 6, 2015. Allen is next up for reelection in 2024 and serves until Jan 3, 2025. He is 71 years old.",/static/legislator-photos/412625-200px.jpeg
Rep. Colin Allred,Representative for Texas’s 32nd District,"Allred is the representative for Texas’s 32nd congressional district (view map) and is a Democrat. He has served since Jan 3, 2019. Allred is next up for reelection in 2024 and serves until Jan 3, 2025. He is 39 years old.",/static/legislator-photos/412828-200px.jpeg
Rep. Mark Amodei,Representative for Nevada’s 2nd District,"Amodei is the representative for Nevada’s 2nd congressional district (view map) and is a Republican. He has served since Sep 13, 2011. Amodei is next up for reelection in 2024 and serves until Jan 3, 2025. He is 64 years old.",/static/legislator-photos/412500-200px.jpeg
Rep. Kelly Armstrong,Representative for North Dakota’s At-Large District,"Armstrong is the representative for North Dakota’s at-large district and is a Republican. He has served since Jan 3, 2019. Armstrong is next up for reelection in 2024 and serves until Jan 3, 2025. He is 46 years old.",/static/legislator-photos/412794-200px.jpeg
Rep. Jodey Arrington,Representative for Texas’s 19th District,"Arrington is the representative for Texas’s 19th congressional district (view map) and is a Republican. He has served since Jan 3, 2017. Arrington is next up for reelection in 2024 and serves until Jan 3, 2025. He is 50 years old.",/static/legislator-photos/412726-200px.jpeg
Rep. Jake Auchincloss,Representative for Massachusetts’s 4th District,"Auchincloss is the representative for Massachusetts’s 4th congressional district (view map) and is a Democrat. He has served since Jan 3, 2021. Auchincloss is next up for reelection in 2024 and serves until Jan 3, 2025. He is 34 years old.",/static/legislator-photos/456825-200px.jpeg
Rep. Brian Babin,Representative for Texas’s 36th District,"Babin is the representative for Texas’s 36th congressional district (view map) and is a Republican. He has served since Jan 6, 2015. Babin is next up for reelection in 2024 and serves until Jan 3, 2025. He is 74 years old.",/static/legislator-photos/412655-200px.jpeg
Rep. Don Bacon,Representative for Nebraska’s 2nd District,"Bacon is the representative for Nebraska’s 2nd congressional district (view map) and is a Republican. He has served since Jan 3, 2017. Bacon is next up for reelection in 2024 and serves until Jan 3, 2025. He is 59 years old.",/static/legislator-photos/412713-200px.jpeg
